Subj,zygosity,Age,FE,Update_all,exp_all,fam_all,viv_all,neg_all,EEAll,learning_all,subjectivelearning,N_Correct_perc,Subj,FE,Gender,Age.Gender
201,MZ,72,22.625,-0.675,1.3,2.65,2.65,4.15,21.575,-0.109254552,0.635084448,2.5,201,22.625,1,72
202,MZ,72,23.9,1.5,1.6,1.8,2.85,4.3,24.5,0.044298137,0.34924831,2.5,202,23.9,1,72
431,DZ,72,21.5,7.4,1.5,1,1,1.55,36.55,-0.014104755,0.545759553,5,431,21.5,1,72
432,DZ,72,44.35,11.025,1.95,3.05,3.1,3.35,17.35,0.405723434,0.659775098,0,432,44.35,1,72
461,MZ,72,14.4,0.4,1.35,1.95,2.85,3.75,25.8,0.106446568,0.822490362,0,461,14.4,1,72
462,MZ,72,24.075,2.05,1.75,3.25,3.2,4.4,27.325,-0.010519014,0.393896628,5,462,24.075,1,72
731,DZ,40,41.525,1.775,2.5,2.85,2.8,4.4,13.775,0.169542261,0.137300169,2.5,731,41.525,1,40
732,DZ,40,39.825,8.45,1.5,3.75,3.15,3.25,13.875,0.758672031,0.819729472,2.5,732,39.825,1,40
1191,MZ,68,45.9,7.925,1.75,3.4,2.85,2,16.6,0.556624557,0.749630619,0,1191,45.9,1,68
1192,MZ,68,37.875,5.9,1.25,3.95,4.65,3.05,17.625,0.455868918,0.476850859,2.5,1192,37.875,1,68
2041,DZ,50,52.625,11.025,2.75,4.7,5.25,4.5,24.025,0.039939774,0.055074226,2.5,2041,52.625,1,50
2042,DZ,50,34.675,8.325,1.85,2.95,3.15,3.7,22.725,0.082664421,-0.125767402,7.5,2042,34.675,1,50
2861,DZ,48,41.8,7.225,1.4,4.75,3.2,3.8,13.95,0.713905759,0.61490416,5,2861,41.8,1,48
2862,DZ,48,28.525,13.1,1.65,2.4,2.1,3.05,15.975,0.740955836,0.874217076,5,2862,28.525,1,48
4391,DZ,55,41.025,5.275,2.45,4.5,3.55,3.25,29.975,-0.042794245,-0.161215667,0,4391,41.025,1,55
4392,DZ,55,35.775,11.075,1.6,4.35,5.05,3.35,15.425,0.292476553,0.680364096,2.5,4392,35.775,1,55
6171,DZ,61,34.7,2.875,2,2.45,2.55,3.5,16.25,0.209163003,0.202708656,2.5,6171,34.7,2,122
6172,DZ,61,32.725,9.275,1.55,3.75,3.1,3.5,21.825,0.019869363,0.337952493,2.5,6172,32.725,2,122
6281,MZ,48,33.75,4.65,2.8,4.05,4.5,5.2,19.3,0.121161642,0.271083108,2.5,6281,33.75,1,48
6282,MZ,48,27.275,1.2,2.05,2.4,4.85,5.15,25.425,0.176815715,0.372002318,2.5,6282,27.275,1,48
6491,MZ,54,31.7,2.05,1.95,2.6,2.85,2.65,19.9,0.168057572,0.61867078,2.5,6491,31.7,1,54
6492,MZ,54,40.375,2.525,1.65,3.55,3.05,2.55,16.375,-0.070352907,-0.274459887,5,6492,40.375,1,54
6741,MZ,40,38.5,4.5,1.65,2.6,3,4.5,16.95,0.329153013,0.689377951,0,6741,38.5,1,40
6742,MZ,40,37.3,12.75,1.7,3.25,4.5,3.8,14.45,0.549491966,0.560992977,5,6742,37.3,1,40
7431,MZ,44,21.25,1.575,1.55,2,3.65,3.2,20.95,0.106124043,0.17163777,10,7431,21.25,2,88
7432,MZ,44,34.325,13.7,1.5,3.3,3.85,3.2,16.375,0.85951558,0.897473233,5,7432,34.325,2,88
8571,DZ,63,37.625,23.625,2.6,4.7,4.2,4.45,29.675,0.303609717,0.492261323,0,8571,37.625,1,63
8572,DZ,63,31.2,3.125,1.45,2.15,2.7,1.2,18.75,0.169016524,0.882992723,0,8572,31.2,1,63
9021,MZ,48,37.8,22.25,1.45,2.3,2.7,4.35,22.55,0.648477101,0.851784388,5,9021,37.8,1,48
9022,MZ,48,43.025,16.525,2.65,2.85,3.55,4.75,26.525,0.379155649,0.546873397,5,9022,43.025,1,48
9311,MZ,49,37.825,17.85,1.8,3.4,2.15,4.55,21.575,0.623499187,0.632569234,5,9311,37.825,1,49
9312,MZ,49,31.425,1.7,1.45,4.1,2.7,3.15,21.325,-0.060910502,0.43148427,7.5,9312,31.425,1,49
9651,MZ,64,34.375,5.5,1.85,2.45,2.7,3.6,16.875,0.074987448,0.400329534,2.5,9651,34.375,1,64
9652,MZ,64,35.425,16.175,1.3,2.7,3.7,1.3,22.125,0.502506839,0.800256852,0,9652,35.425,1,64
9711,MZ,49,45.3,16.65,1.75,3.15,2.9,3.05,20.75,0.687288404,0.825365977,2.5,9711,45.3,1,49
9712,MZ,49,37.925,6.15,1.2,3.25,3.95,4.6,14.875,0.267800927,0.472374451,0,9712,37.925,1,49
9761,MZ,61,42.725,14.2,1.25,1.5,1.55,2,16.575,0.133339406,0.028904589,7.5,9761,42.725,1,61
9762,MZ,61,41.175,6.275,1.85,4,3.9,4.4,17.475,0.261567248,0.350133087,2.5,9762,41.175,1,61
9861,MZ,45,40.375,11.625,2.05,2.75,3.8,4.6,22.175,0.39528694,0.463912219,5,9861,40.375,1,45
9862,MZ,45,40.775,4.1,1.25,2.85,3.25,5.2,23.825,0.067672864,0.41210543,0,9862,40.775,1,45
10331,MZ,57,35.475,8.025,1.8,2.35,3.05,4.75,16.125,0.435170591,0.543817115,5,10331,35.475,1,57
10332,MZ,57,38.05,10.225,1.7,2.75,4.4,4.65,18.3,0.494630159,0.88321595,2.5,10332,38.05,1,57
10901,MZ,49,25.3,5.1,1.85,4,5.8,3.05,26.65,-0.121406052,0.156369745,2.5,10901,25.3,1,49
10902,MZ,49,36.85,11.325,2.45,3.25,3.7,2.7,15.6,0.471107346,0.305930801,0,10902,36.85,1,49
10921,MZ,48,38.3,12.55,1.7,4.85,5.65,5.25,14.7,0.86667872,0.970099339,7.5,10921,38.3,1,48
10922,MZ,48,28.975,2.3,1.75,2.8,4.15,3.9,20.675,-0.007432833,0.081350039,15,10922,28.975,1,48
11051,MZ,69,29.2,17.025,1.35,2.25,2.45,5.1,17.45,0.555780428,0.801832653,0,11051,29.2,1,69
11052,MZ,69,41.15,11.15,1.05,1.55,1.7,2.85,18.3,0.446340327,0.681210826,0,11052,41.15,1,69
11611,MZ,49,35.2,3.575,2.35,2.2,4.05,5.3,19.25,0.099871003,0.04759625,5,11611,35.2,1,49
11612,MZ,49,27.125,9.35,1.25,2.25,3.7,4.9,25.525,0.323394861,0.323917904,7.5,11612,27.125,1,49
11821,MZ,79,27.8,8.375,1.8,2,2.1,3.1,19.3,0.324296666,0.571490501,0,11821,27.8,2,158
11822,MZ,79,34.9,5.875,1.85,2.85,3.55,3.45,23.9,0.105810394,-0.210940736,5,11822,34.9,2,158
12121,MZ,57,36.8,11.075,1.6,1.5,2,1,23.65,0.264549247,0.540223498,2.5,12121,36.8,2,114
12122,MZ,57,27.5,2.75,1.3,3.8,4.9,1.5,18.5,0.319196284,0.254801491,0,12122,27.5,2,114
12641,MZ,63,17.475,2.55,1.25,2.4,1.5,4.2,25.775,-0.162663024,0.249816402,7.5,12641,17.475,2,126
12642,MZ,63,26.425,2.925,1.7,3.75,3.45,3.1,20.975,0.189312036,0.325371151,7.5,12642,26.425,2,126
13261,MZ,62,29.575,18.3,1.25,3.25,2.6,2.85,20.625,0.671090588,0.851499139,7.5,13261,29.575,2,124
13262,MZ,62,26.1,-0.5,1.5,2.6,3.2,4.65,20.3,0.08902265,0.289237531,5,13262,26.1,2,124
13341,MZ,65,35.525,10.125,1.6,4.2,3.45,3.6,17.275,0.509607608,0.805115977,0,13341,35.525,2,130
13342,MZ,65,24,1.65,2,2.6,2.35,4.65,21.3,0.203716366,0.310194424,2.5,13342,24,2,130
13491,MZ,56,20.25,3.55,1.4,2.1,2.25,3.35,23.8,0.02821251,0.037150078,2.5,13491,20.25,2,112
13492,MZ,56,22.25,-0.25,1.35,2.85,1.25,4.7,20.8,0.243346571,0.048506811,0,13492,22.25,2,112
13621,MZ,57,17.975,1.4,1.15,3.7,2.8,3.6,24.225,0.244751659,0.341945039,7.5,13621,17.975,2,114
13622,MZ,57,39.75,7.025,1.85,3.8,4.15,4.05,16.05,0.465952231,0.57997862,7.5,13622,39.75,2,114
13791,MZ,59,36.55,14.305,1.45,1.95,3,5.45,15.45,0.576304721,0.833639079,2.5,13791,36.55,2,118
13792,MZ,59,13.275,-2.75,1.4,1.35,1.4,5.65,29.125,0.359042749,0.07060518,5,13792,13.275,2,118
15341,DZ,74,38.675,8.075,1.7,2.5,4.3,1.35,24.425,0.300021834,0.551520882,2.5,15341,38.675,1,74
15342,DZ,74,34.35,8.475,2.2,3.05,3.65,4.65,28.6,0.080693433,0.438401201,5,15342,34.35,1,74
15461,MZ,49,38.35,18,1.8,3.1,5.1,4.05,17.15,0.73995454,0.931066769,5,15461,38.35,1,49
15462,MZ,49,47,2,1.75,1.9,4.5,4.45,15,0.356877198,0.595476646,5,15462,47,1,49
15691,MZ,44,41.425,10.725,1.7,2.5,3.25,5.05,24.825,0.484942606,0.716451417,7.5,15691,41.425,1,44
15692,MZ,44,32.95,12.525,1.95,3.1,4.95,4.95,22.8,0.179454101,-0.035885368,0,15692,32.95,1,44
15701,MZ,53,39.75,11.1,2.4,3.65,5.75,5.15,23.8,0.067279666,0.235861951,2.5,15701,39.75,1,53
15702,MZ,53,34.35,13.975,1.45,4.1,4.8,5.2,15.3,0.648787607,0.942710168,2.5,15702,34.35,1,53
15801,MZ,55,43.575,5.075,2.05,3.2,5.5,5.4,13.475,0.287883536,0.592522325,7.5,15801,43.575,1,55
15802,MZ,55,43.2,4.55,1.75,4.25,5.1,4.05,19.35,0.10930437,0.032887727,5,15802,43.2,1,55
15911,MZ,53,40.15,16.55,1.65,4.35,4.05,3.55,17.8,0.783579244,0.905498446,2.5,15911,40.15,1,53
15912,MZ,53,34.325,10.475,1.6,4.1,3.3,3.95,20.375,0.47118035,0.601532813,7.5,15912,34.325,1,53
16291,MZ,56,38.3,14.85,1.8,3.2,4.3,4.1,25.65,0.384099974,0.54221061,2.5,16291,38.3,1,56
16292,MZ,56,24.95,3.05,1.5,3.55,5.85,4.7,27.1,0.170547597,0.336511548,5,16292,24.95,1,56
16371,MZ,62,28.65,3,1.8,3.05,4.5,2.5,20.05,-0.023371015,0.672337629,0,16371,28.65,1,62
16372,MZ,62,27.675,0.925,1.2,2.3,4.05,3,16.425,0.392718952,0.5839494,0,16372,27.675,1,62
16421,MZ,59,36.75,17.5,1.3,2,3,2.95,20.15,0.61120993,0.938626042,7.5,16421,36.75,1,59
16422,MZ,59,33.225,13.45,1.7,4.3,2.25,3.55,16.075,0.67167158,0.934616146,12.5,16422,33.225,1,59
